part_id,material,component,triangles,vertices,mesh,centroid_x,centroid_y,centroid_z,bbox_min_x,bbox_min_y,bbox_min_z,bbox_max_x,bbox_max_y,bbox_max_z
mat0_007_c00,mat_0_007,0,2794,1399,link7_mat0_007_component_00_2794tris.stl,11.691342,27.605712,551.75004,8.942198,15.5,549,14.44049,33.5,554.5
mat0_007_c01,mat_0_007,1,2794,1399,link7_mat0_007_component_01_2794tris.stl,-11.691342,27.605712,551.75004,-14.44049,15.5,549,-8.942198,33.5,554.5
mat0_007_c02,mat_0_007,2,2794,1399,link7_mat0_007_component_02_2794tris.stl,8.2830256e-18,27.605712,545.00004,-2.749145,15.5,542.25,2.749145,33.5,547.75
mat0_007_c03,mat_0_007,3,2794,1399,link7_mat0_007_component_03_2794tris.stl,8.2830256e-18,27.605712,572.00004,-2.749145,15.5,569.25,2.749145,33.5,574.75
mat0_007_c04,mat_0_007,4,2794,1399,link7_mat0_007_component_04_2794tris.stl,-11.691342,27.605712,565.25004,-14.44049,15.5,562.5,-8.942198,33.5,568
mat0_007_c05,mat_0_007,5,2794,1399,link7_mat0_007_component_05_2794tris.stl,11.691342,27.605712,565.25004,8.942198,15.5,562.5,14.44049,33.5,568
mat0_007_c06,mat_0_007,6,756,504,link7_mat0_007_component_06_756tris.stl,9.5161974e-17,30.251625,596.50003,-2.749881,25.3065,593.7504,2.749881,33.7,599.2497
mat0_007_c07,mat_0_007,7,756,504,link7_mat0_007_component_07_756tris.stl,5.501,30.251625,603.00054,2.751118,25.3065,600.2509,8.250883,33.7,605.7502
mat0_007_c08,mat_0_007,8,756,504,link7_mat0_007_component_08_756tris.stl,-5.499,30.251625,603.00054,-8.248882,25.3065,600.2509,-2.749118,33.7,605.7502
mat0_007_c09,mat_0_007,9,148,138,link7_mat0_007_component_09_148tris.stl,-6.2751736e-17,33.943478,596.50003,-2.449894,32.7,594.0504,2.449894,34,598.9497
mat0_007_c10,mat_0_007,10,148,138,link7_mat0_007_component_10_148tris.stl,5.501,33.943478,603.00053,3.051106,32.7,600.5509,7.950894,34,605.4502
